MONTH,DISTRICT,Mortgages,Total Amount
01/2017,NICOSIA,312,44900503.87
02/2017,NICOSIA,380,78037105.79
03/2017,NICOSIA,583,104324654.8
04/2017,NICOSIA,437,55834212.05
05/2017,NICOSIA,526,96459158.99
06/2017,NICOSIA,409,117924046.7
07/2017,NICOSIA,422,84232041.06
08/2017,NICOSIA,493,116616693.6
09/2017,NICOSIA,609,253957187.6
10/2017,NICOSIA,618,87570802.09
11/2017,NICOSIA,583,75070483.77
12/2017,NICOSIA,680,120969265.6
01/2017,FAMAGUSTA,69,9796540
02/2017,FAMAGUSTA,94,51294019.96
03/2017,FAMAGUSTA,108,39330246.76
04/2017,FAMAGUSTA,82,16156774.39
05/2017,FAMAGUSTA,125,16869477.16
06/2017,FAMAGUSTA,87,67857921
07/2017,FAMAGUSTA,78,11274805.93
08/2017,FAMAGUSTA,90,14490792.04
09/2017,FAMAGUSTA,141,11959194.46
10/2017,FAMAGUSTA,108,26917811.06
11/2017,FAMAGUSTA,134,61166443.82
12/2017,FAMAGUSTA,118,63328713.69
01/2017,LARNACA,211,19953818
02/2017,LARNACA,206,28238957.44
03/2017,LARNACA,266,28295591.11
04/2017,LARNACA,157,15950192.36
05/2017,LARNACA,249,33106864.87
06/2017,LARNACA,210,32580458.1
07/2017,LARNACA,129,17926836.42
08/2017,LARNACA,239,32638555.12
09/2017,LARNACA,309,42659427.64
10/2017,LARNACA,260,33381653.93
11/2017,LARNACA,273,33726101.89
12/2017,LARNACA,276,38411776.25
01/2017,LIMASSOL,320,39192376.38
02/2017,LIMASSOL,339,145228768.2
03/2017,LIMASSOL,462,167829234.5
04/2017,LIMASSOL,323,77429032.7
05/2017,LIMASSOL,379,65827065.98
06/2017,LIMASSOL,283,93373935.58
07/2017,LIMASSOL,316,76940879.69
08/2017,LIMASSOL,347,129383190.6
09/2017,LIMASSOL,411,91798044.99
10/2017,LIMASSOL,427,98750949.95
11/2017,LIMASSOL,398,101025749.7
12/2017,LIMASSOL,523,121609537.6
01/2017,PAPHOS,142,12843928.06
02/2017,PAPHOS,136,29681241.03
03/2017,PAPHOS,241,102437961.2
04/2017,PAPHOS,121,20443607.45
05/2017,PAPHOS,145,14531812.77
06/2017,PAPHOS,155,114613353.2
07/2017,PAPHOS,116,23069848.82
08/2017,PAPHOS,192,33013013.18
09/2017,PAPHOS,211,30157011.05
10/2017,PAPHOS,277,38404151.93
11/2017,PAPHOS,227,47472281.21
12/2017,PAPHOS,242,48582284.09
01/2018,NICOSIA,503,66711616
02/2018,NICOSIA,459,59465478
03/2018,NICOSIA,643,87664628
04/2018,NICOSIA,488,101934679
05/2018,NICOSIA,601,91336244
06/2018,NICOSIA,666,95935797
07/2018,NICOSIA,603,115535353
08/2018,NICOSIA,518,79577648
09/2018,NICOSIA,312,48501363
10/2018,NICOSIA,368,56689256
11/2018,NICOSIA,475,66017238
12/2018,NICOSIA,492,115882584
01/2018,FAMAGUSTA,103,21120415
02/2018,FAMAGUSTA,78,17823722
03/2018,FAMAGUSTA,102,19843703
04/2018,FAMAGUSTA,76,10552121
05/2018,FAMAGUSTA,126,17295994
06/2018,FAMAGUSTA,89,12355121
07/2018,FAMAGUSTA,66,25423908
08/2018,FAMAGUSTA,99,16894380
09/2018,FAMAGUSTA,59,192530115
10/2018,FAMAGUSTA,55,13693181
11/2018,FAMAGUSTA,62,7516903
12/2018,FAMAGUSTA,80,27933407
01/2018,LARNACA,212,22135509
02/2018,LARNACA,300,33322530
03/2018,LARNACA,313,34465769
04/2018,LARNACA,245,35483323
05/2018,LARNACA,320,60490266
06/2018,LARNACA,263,25856644
07/2018,LARNACA,219,35131742
08/2018,LARNACA,228,25408750
09/2018,LARNACA,99,12052848
10/2018,LARNACA,121,14729856
11/2018,LARNACA,157,19513331
12/2018,LARNACA,164,22539522
01/2018,LIMASSOL,332,70587170
02/2018,LIMASSOL,355,61005129
03/2018,LIMASSOL,509,112059192
04/2018,LIMASSOL,342,71207523
05/2018,LIMASSOL,465,122935582
06/2018,LIMASSOL,500,125974954
07/2018,LIMASSOL,368,82122823
08/2018,LIMASSOL,406,75084919
09/2018,LIMASSOL,198,33878725
10/2018,LIMASSOL,270,80417089
11/2018,LIMASSOL,320,70245701
12/2018,LIMASSOL,347,93296981
01/2018,PAPHOS,148,21914174
02/2018,PAPHOS,131,15605769
03/2018,PAPHOS,237,45599521
04/2018,PAPHOS,166,18166148.44
05/2018,PAPHOS,252,30827302.28
06/2018,PAPHOS,245,65529860.24
07/2018,PAPHOS,202,57906560.31
08/2018,PAPHOS,194,38854654.97
09/2018,PAPHOS,90,47480207.32
10/2018,PAPHOS,120,19875511.15
11/2018,PAPHOS,134,16333112.29
12/2018,PAPHOS,120,44627483.45
01/2019,NICOSIA,332,78994585
02/2019,NICOSIA,349,60058392
03/2019,NICOSIA,495,90660667
04/2019,NICOSIA,535,97983836
05/2019,NICOSIA,658,119800211
06/2019,NICOSIA,481,83788322
07/2019,NICOSIA,549,184928594
08/2019,NICOSIA,432,101355805
09/2019,NICOSIA,522,97463053
10/2019,NICOSIA,473,72774464
11/2019,NICOSIA,601,91968402
12/2019,NICOSIA,553,93890627
01/2019,FAMAGUSTA,63,52778622
02/2019,FAMAGUSTA,48,21458063
03/2019,FAMAGUSTA,92,40899446
04/2019,FAMAGUSTA,94,28887772
05/2019,FAMAGUSTA,101,11311184
06/2019,FAMAGUSTA,85,15555631
07/2019,FAMAGUSTA,111,51820084
08/2019,FAMAGUSTA,72,24811436
09/2019,FAMAGUSTA,78,13156406
10/2019,FAMAGUSTA,59,4416130
11/2019,FAMAGUSTA,55,9446253
12/2019,FAMAGUSTA,99,14833990
01/2019,LARNACA,113,19737839
02/2019,LARNACA,117,13256798
03/2019,LARNACA,208,28903929
04/2019,LARNACA,320,44220099
05/2019,LARNACA,276,41103939
06/2019,LARNACA,219,33213545
07/2019,LARNACA,238,41310684
08/2019,LARNACA,218,27979998
09/2019,LARNACA,250,52638788
10/2019,LARNACA,238,28238480
11/2019,LARNACA,229,30530987
12/2019,LARNACA,292,58729717
01/2019,LIMASSOL,227,47278864
02/2019,LIMASSOL,255,51000178
03/2019,LIMASSOL,346,74058318
04/2019,LIMASSOL,445,70087319
05/2019,LIMASSOL,376,69954278
06/2019,LIMASSOL,437,120828859
07/2019,LIMASSOL,385,91123797
08/2019,LIMASSOL,346,76265512
09/2019,LIMASSOL,413,90717040
10/2019,LIMASSOL,422,81079691
11/2019,LIMASSOL,359,63257240
12/2019,LIMASSOL,451,88527273
01/2019,PAPHOS,116,13368947
02/2019,PAPHOS,112,26380360
03/2019,PAPHOS,218,25409735
04/2019,PAPHOS,204,18191355.4
05/2019,PAPHOS,191,30307166.73
06/2019,PAPHOS,162,19144720.62
07/2019,PAPHOS,199,20903999.9
08/2019,PAPHOS,146,31245330.93
09/2019,PAPHOS,149,17577927
10/2019,PAPHOS,158,16536784.01
11/2019,PAPHOS,168,24414972.63
12/2019,PAPHOS,192,44557181.74
01/2020,NICOSIA,420,71715102
02/2020,NICOSIA,471,98876463
03/2020,NICOSIA,225,35706118
04/2020,NICOSIA,124,18318688
05/2020,NICOSIA,269,41299475
06/2020,NICOSIA,533,81431743
07/2020,NICOSIA,670,154263190
08/2020,NICOSIA,435,101457754
09/2020,NICOSIA,535,112482651
10/2020,NICOSIA,532,87694085
11/2020,NICOSIA,652,83831165
12/2020,NICOSIA,659,115186484
01/2020,FAMAGUSTA,76,26003315
02/2020,FAMAGUSTA,63,15388309
03/2020,FAMAGUSTA,48,12942276
04/2020,FAMAGUSTA,23,5039000
05/2020,FAMAGUSTA,34,6191562
06/2020,FAMAGUSTA,78,7323262
07/2020,FAMAGUSTA,118,38421998
08/2020,FAMAGUSTA,61,11301686
09/2020,FAMAGUSTA,77,9947814
10/2020,FAMAGUSTA,60,6293391
11/2020,FAMAGUSTA,81,64396964
12/2020,FAMAGUSTA,76,11334907
01/2020,LARNACA,159,21361451
02/2020,LARNACA,239,94214607
03/2020,LARNACA,82,9429525
04/2020,LARNACA,41,4334072
05/2020,LARNACA,67,6648736
06/2020,LARNACA,240,27877870
07/2020,LARNACA,266,32609997
08/2020,LARNACA,188,23479764
09/2020,LARNACA,278,36738616
10/2020,LARNACA,189,37175267
11/2020,LARNACA,241,35607667
12/2020,LARNACA,241,35820955
01/2020,LIMASSOL,289,67273642
02/2020,LIMASSOL,370,59610243
03/2020,LIMASSOL,176,30349021
04/2020,LIMASSOL,118,24909033
05/2020,LIMASSOL,242,43207215
06/2020,LIMASSOL,420,81227471
07/2020,LIMASSOL,446,76841433
08/2020,LIMASSOL,276,115630465
09/2020,LIMASSOL,484,113017586
10/2020,LIMASSOL,338,108818437
11/2020,LIMASSOL,327,130832135
12/2020,LIMASSOL,455,78153290
01/2020,PAPHOS,119,15788113
02/2020,PAPHOS,198,30035191
03/2020,PAPHOS,76,21232751
04/2020,PAPHOS,61,12799463
05/2020,PAPHOS,104,42781750.74
06/2020,PAPHOS,174,25613803.16
07/2020,PAPHOS,188,19521323.93
08/2020,PAPHOS,133,101323243
09/2020,PAPHOS,194,23352246.94
10/2020,PAPHOS,141,21871814.78
11/2020,PAPHOS,176,39094129
12/2020,PAPHOS,213,42140319.95