Year,District,No. Aeroplanes,Total Passengers,Transit Passengers,Imports G.C.W. (M/T)
2013,LARNACA,24991,3026594,85213,13640
2013,PAPHOS,7006,1093202,9767,212
2013,TOTAL,31997,4119796,94980,13852
2014,LARNACA,24685,2700938,76653,14841
2014,PAPHOS,6824,1051556,2669,222
2014,TOTAL,31509,3752494,79322,15063
2015,LARNACA,24637,2749662,85379,14173
2015,PAPHOS,7587,1145662,4343,281
2015,TOTAL,32224,3895324,89722,14454
2016,LARNACA,30490,3408370,84423,15804
2016,PAPHOS,8110,1175584,4449,326
2016,TOTAL,38600,4583954,88872,16130
2017,LARNACA,35137,3959591,86832,17741
2017,PAPHOS,8785,1266227,5508,177
2017,TOTAL,43922,5225818,92340,17918
2018,LARNACA,35466,4139941,97225,18838
2018,PAPHOS,9621,1437018,2277,149
2018,TOTAL,45087,5576959,99502,18987
2019,LARNACA,33063,4206967,85294,18363
2019,PAPHOS,10142,1525101,3125,234
2019,TOTAL,43205,5732068,88419,18597
2020,LARNACA,15138,899993,57208,14646
2020,PAPHOS,3790,320758,8653,55
2020,TOTAL,18928,1220751,65861,14701